代码,名称,最新价,箱体振幅,成交量倍数,信号强度,操作建议,止损位参考
600620,天宸股份,7.26,17.47%,2.63,85,【优选标的】形态标准。属于标准突破，建议底仓试错，观察次周续航能力。,6.86
600372,中航机载,15.41,13.76%,2.95,75,【普通观察】符合战法但爆发力存疑，建议仅作复盘跟踪，暂不重仓。,13.56
603125,常青科技,18.94,13.74%,2.88,75,【普通观察】符合战法但爆发力存疑，建议仅作复盘跟踪，暂不重仓。,18.38
002254,泰和新材,11.87,18.15%,4.48,75,【普通观察】符合战法但爆发力存疑，建议仅作复盘跟踪，暂不重仓。,10.87
601886,江河集团,8.8,18.38%,1.88,70,【普通观察】符合战法但爆发力存疑，建议仅作复盘跟踪，暂不重仓。,8.5
603037,凯众股份,17.03,19.86%,2.38,60,【普通观察】符合战法但爆发力存疑，建议仅作复盘跟踪，暂不重仓。,15.33
002258,利尔化学,14.32,17.00%,2.0,60,【普通观察】符合战法但爆发力存疑，建议仅作复盘跟踪，暂不重仓。,13.9
