代码,名称,现价,涨跌幅%,RSI,历史信号胜率%,信号强度,操作建议
002349,精华制药,7.43,0.0,31.43,100.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
600787,中储股份,5.26,0.0,34.88,0.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
000726,鲁  泰Ａ,6.6,0.61,31.58,0.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
603367,辰欣药业,15.67,-0.06,33.48,0.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
600061,国投资本,6.68,-0.15,30.67,0.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
601369,陕鼓动力,9.29,-0.64,31.53,0.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
