日期,代码,名称,现价,跌幅深度,买入信号强度,操作建议
2026-07-03,000731,四川美丰,5.28,69.4%,70分,【轻仓观察】形态走好，等待右侧确立
2026-07-03,002716,湖南白银,8.44,60.4%,70分,【轻仓观察】形态走好，等待右侧确立
2026-07-03,600195,中牧股份,6.25,65.3%,70分,【轻仓观察】形态走好，等待右侧确立
2026-07-03,002097,山河智能,7.48,64.3%,70分,【轻仓观察】形态走好，等待右侧确立
2026-07-03,601128,常熟银行,5.96,67.9%,70分,【轻仓观察】形态走好，等待右侧确立
2026-07-03,601107,四川成渝,5.21,78.0%,70分,【轻仓观察】形态走好，等待右侧确立
2026-07-03,601212,白银有色,5.18,65.9%,70分,【轻仓观察】形态走好，等待右侧确立
2026-07-03,603230,内蒙新华,9.11,66.0%,70分,【轻仓观察】形态走好，等待右侧确立
2026-07-03,601139,深圳燃气,5.9,64.4%,70分,【轻仓观察】形态走好，等待右侧确立
2026-07-03,002267,陕天然气,6.89,62.1%,70分,【轻仓观察】形态走好，等待右侧确立
2026-07-03,601952,苏垦农发,7.75,60.2%,70分,【轻仓观察】形态走好，等待右侧确立
2026-07-03,000721,西安饮食,5.68,70.5%,70分,【轻仓观察】形态走好，等待右侧确立
2026-07-03,002761,浙江建投,6.95,61.6%,70分,【轻仓观察】形态走好，等待右侧确立
2026-07-03,002660,茂硕电源,6.66,66.8%,70分,【轻仓观察】形态走好，等待右侧确立
