代码,名称,现价,涨跌幅%,RSI,历史信号胜率%,信号强度,操作建议
600250,南京商旅,7.66,-3.04,30.95,45.45,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
603079,圣达生物,11.12,-1.77,30.46,33.33,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
603778,国晟科技,10.19,-9.98,27.83,25.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
000537,中绿电,6.92,-2.95,24.07,0.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
002719,麦趣尔,5.65,-3.09,33.23,0.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
601007,金陵饭店,6.13,-1.61,34.62,0.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
