代码,名称,现价,涨跌幅%,RSI,历史信号胜率%,信号强度,操作建议
603166,福达股份,12.91,-1.38,31.46,66.67,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
002297,博云新材,10.66,-2.2,34.56,58.33,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
600415,小商品城,12.91,-1.15,32.0,55.17,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
600877,电科芯片,15.53,-1.46,29.1,55.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
600848,上海临港,9.88,-1.1,33.85,47.37,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
002324,普利特,14.65,-2.01,30.5,44.44,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
002414,高德红外,12.73,-1.55,26.59,44.44,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
600366,宁波韵升,11.67,-1.52,31.21,44.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
600595,中孚实业,7.36,-1.87,31.25,40.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
603035,常熟汽饰,13.78,-2.06,32.47,40.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
605108,同庆楼,16.19,-2.23,32.47,36.36,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
601108,财通证券,7.7,-0.13,30.92,36.36,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
002062,宏润建设,7.17,-2.05,32.62,35.71,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
