日期,代码,名称,现价,跌幅深度,买入信号强度,操作建议
2026-06-26,603230,内蒙新华,8.88,66.9%,70分,【轻仓观察】形态走好，等待右侧确立
2026-06-26,001322,箭牌家居,6.07,78.9%,70分,【轻仓观察】形态走好，等待右侧确立
