日期,代码,名称,现价,跌幅深度,买入信号强度,操作建议
2026-05-29,600123,兰花科创,6.85,63.6%,70分,【轻仓观察】形态走好，等待右侧确立
2026-05-29,601139,深圳燃气,6.48,60.9%,70分,【轻仓观察】形态走好，等待右侧确立
2026-05-29,600027,华电国际,5.56,62.5%,100分,【重仓博弈】超跌+倍量金叉共振，极大概率反转
