日期,代码,名称,现价,跌幅深度,买入信号强度,操作建议
2026-06-12,601108,财通证券,7.69,74.9%,70分,【轻仓观察】形态走好，等待右侧确立
2026-06-12,600029,南方航空,5.27,62.3%,70分,【轻仓观察】形态走好，等待右侧确立
2026-06-12,002550,千红制药,5.94,69.9%,70分,【轻仓观察】形态走好，等待右侧确立
2026-06-12,002083,孚日股份,9.64,60.4%,70分,【轻仓观察】形态走好，等待右侧确立
2026-06-12,000721,西安饮食,6.13,68.2%,70分,【轻仓观察】形态走好，等待右侧确立
2026-06-12,002181,粤 传 媒,13.07,60.0%,70分,【轻仓观察】形态走好，等待右侧确立
