日期,代码,名称,现价,跌幅深度,买入信号强度,操作建议
2026-06-22,000731,四川美丰,5.64,67.3%,70分,【轻仓观察】形态走好，等待右侧确立
2026-06-22,600284,浦东建设,5.54,79.8%,100分,【重仓博弈】超跌+倍量金叉共振，极大概率反转
2026-06-22,002753,永东股份,6.26,69.1%,70分,【轻仓观察】形态走好，等待右侧确立
