日期,代码,名称,现价,跌幅深度,买入信号强度,操作建议
2026-06-02,600195,中牧股份,6.84,62.0%,70分,【轻仓观察】形态走好，等待右侧确立
2026-06-02,002700,万憬能源,7.94,65.5%,70分,【试错买入】突破颈线位，观察持续性
