代码,名称,现价,涨跌幅%,RSI,历史信号胜率%,信号强度,操作建议
600268,国电南自,12.29,-0.89,34.7,36.59,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
000936,华西股份,5.69,-1.22,28.07,0.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
600131,国网信通,15.17,-2.69,32.21,0.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
601033,永兴股份,13.83,-1.71,32.56,0.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
603639,海利尔,10.41,-0.86,24.8,0.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
002180,纳思达,14.08,-2.63,33.88,0.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
600284,浦东建设,5.13,-3.02,30.95,0.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
002391,长青股份,5.15,-1.34,30.63,0.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
603585,苏利股份,14.37,-1.78,27.16,0.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
