代码,名称,现价,涨跌幅%,RSI,历史信号胜率%,信号强度,操作建议
601865,福莱特,10.98,0.18,28.14,100.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
603300,海南华铁,5.12,-0.97,25.58,73.33,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
000617,中油资本,7.36,-0.67,34.68,57.89,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
603313,梦百合,5.17,-0.58,32.23,56.25,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
600773,西藏城投,15.55,1.37,33.38,47.62,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
002394,联发股份,9.33,-0.53,28.15,47.62,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
601238,广汽集团,5.87,-0.51,33.33,41.67,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
000735,罗 牛 山,5.26,0.77,33.0,34.78,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
603309,维力医疗,11.77,0.17,30.47,0.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
002840,华统股份,8.18,-0.97,23.56,0.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
001201,东瑞股份,11.22,-0.36,34.65,0.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
