代码,名称,现价,涨跌幅%,RSI,历史信号胜率%,信号强度,操作建议
605368,蓝天燃气,7.08,0.28,33.57,100.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
600127,金健米业,6.05,-0.17,32.03,38.46,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
601800,中国交建,6.28,-1.26,28.42,0.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
002705,新宝股份,12.49,-1.58,29.63,0.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
603558,健盛集团,11.83,0.0,23.16,0.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
603027,千禾味业,7.65,-1.92,26.14,0.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
605599,菜百股份,15.53,-0.26,26.94,0.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
000713,国投丰乐,5.87,-1.51,31.4,0.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
000625,长安汽车,8.0,-1.96,28.78,0.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
002469,三维化学,6.3,-2.02,28.93,0.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
