代码,名称,现价,涨跌幅%,RSI,历史信号胜率%,信号强度,操作建议
002492,恒基达鑫,5.63,0.0,31.54,75.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
603218,日月股份,10.81,-1.64,31.72,71.43,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
600629,华建集团,16.08,-4.96,33.88,56.52,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
600468,百利电气,5.74,-2.21,27.13,56.25,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
600855,航天长峰,14.79,-0.67,34.97,50.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
600773,西藏城投,14.79,-3.77,34.12,47.62,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
002725,跃岭股份,13.3,-2.92,27.25,40.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
600268,国电南自,12.35,-1.44,34.72,36.59,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
605183,确成股份,14.8,-1.2,31.62,16.67,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
002840,华统股份,8.08,1.64,26.89,0.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
603279,景津装备,13.12,-0.3,18.02,0.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
002242,九阳股份,8.35,-0.95,28.9,0.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
600739,辽宁成大,10.09,-1.46,32.28,0.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
603585,苏利股份,14.45,-1.16,30.79,0.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
000905,厦门港务,8.57,-0.46,31.98,0.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
002546,新联电子,6.7,-1.62,29.35,0.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
605599,菜百股份,14.57,-1.29,31.05,0.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
