代码,name,现价,涨跌幅%,RSI,历史胜率%,信号强度,操作建议
000610,西安旅游,12.55,-0.48,47.06,57.37,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
603477,巨星农牧,17.46,0.75,47.14,38.83,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
002705,新宝股份,14.22,0.49,47.29,43.21,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
600415,小商品城,16.19,0.06,47.35,43.75,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
601881,中国银河,16.04,-1.84,47.39,62.3,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
601136,首创证券,19.28,-0.21,47.67,52.17,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
600861,北京人力,18.15,0.0,47.85,50.49,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
002059,云南旅游,5.43,0.0,47.89,61.78,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
603214,爱婴室,17.17,0.23,48.03,52.0,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
600846,同济科技,14.05,-1.75,48.12,52.69,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
601019,山东出版,8.66,-0.35,48.17,55.1,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
600559,老白干酒,16.15,-0.43,48.45,46.58,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
601966,玲珑轮胎,14.72,0.14,48.48,40.2,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
002016,世荣兆业,5.89,1.55,48.54,52.33,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
002515,金字火腿,6.23,0.32,48.6,45.77,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
000565,渝三峡Ａ,7.44,1.5,48.61,48.2,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
603871,嘉友国际,13.83,0.51,48.64,50.56,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
600867,通化东宝,8.45,0.24,48.78,44.96,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
600119,长江投资,7.92,1.54,48.89,55.26,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
600692,亚通股份,7.12,1.71,48.95,45.03,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
002570,贝因美,6.16,-0.32,49.3,51.85,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
002676,顺威股份,8.36,1.33,49.3,39.16,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
000957,中通客车,11.46,-1.12,49.46,42.14,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
002893,京能热力,11.47,0.53,49.6,45.45,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
000524,岭南控股,12.25,0.0,49.75,52.31,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
000729,燕京啤酒,12.17,-0.33,49.77,50.85,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
600821,金开新能,5.21,0.97,50.0,49.65,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
601788,光大证券,17.75,-1.5,50.0,56.64,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
600956,新天绿能,7.34,0.55,50.0,36.17,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
600305,恒顺醋业,7.96,-0.13,50.0,52.59,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
600155,华创云信,6.83,0.15,50.0,50.35,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
601236,红塔证券,8.41,-0.47,50.0,43.53,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
603949,雪龙集团,18.47,1.09,50.0,47.06,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
605055,迎丰股份,9.9,-1.98,50.17,55.1,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
603053,成都燃气,9.77,0.31,50.5,53.57,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
000828,东莞控股,10.83,-0.91,50.53,47.0,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
600479,千金药业,10.27,0.29,50.59,47.41,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
002500,山西证券,6.09,-1.3,50.67,57.86,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
002861,瀛通通讯,18.43,0.05,50.71,62.03,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
601059,信达证券,17.82,-0.56,50.76,52.38,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
603106,恒银科技,10.76,0.75,50.82,50.0,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
002900,哈三联,12.92,-0.46,51.05,55.45,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
601965,中国汽研,17.33,-1.76,51.05,49.48,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
601901,方正证券,7.89,-1.5,51.14,48.46,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
600906,财达证券,6.93,-0.72,51.3,41.67,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
002637,赞宇科技,10.31,1.08,51.33,49.21,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
601998,中信银行,7.41,0.14,51.38,52.1,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
002950,奥美医疗,11.37,1.52,51.38,46.34,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
001896,豫能控股,5.46,3.61,51.43,49.82,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
603848,好太太,18.95,1.5,51.45,38.82,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
002695,煌上煌,11.94,0.17,51.56,43.51,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
600116,三峡水利,6.51,0.0,51.61,57.56,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
601668,中国建筑,5.19,0.0,51.61,42.07,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
601878,浙商证券,11.01,-0.99,51.67,54.02,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
000035,中国天楹,5.72,2.33,51.76,47.43,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
603636,南威软件,12.24,2.6,51.93,56.78,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
600095,湘财股份,11.35,-2.32,52.1,47.47,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
000686,东北证券,9.53,-2.06,52.11,50.0,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
601083,锦江航运,11.37,-0.35,52.25,40.54,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
600054,黄山旅游,11.43,-0.35,52.27,51.42,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
600651,飞乐音响,7.48,0.67,52.42,51.14,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
002044,美年健康,5.57,2.96,52.45,46.58,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
601169,北京银行,5.53,-0.36,52.63,55.83,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
000625,长安汽车,11.86,0.08,52.71,41.23,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
002739,万达电影,11.39,0.26,52.78,51.18,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
603719,良品铺子,11.96,1.18,53.0,54.55,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
000712,锦龙股份,12.41,-1.51,53.04,51.25,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
600661,昂立教育,10.3,1.58,53.18,50.97,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
603317,天味食品,12.82,0.87,53.19,46.85,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
002100,天康生物,7.34,0.41,53.19,42.32,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
603093,南华期货,19.75,-1.25,53.21,61.22,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
603170,宝立食品,15.01,-1.38,53.23,48.65,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
603866,桃李面包,5.35,0.56,53.23,36.81,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
002818,富森美,11.23,0.27,53.27,57.38,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
603815,交建股份,7.79,2.23,53.33,35.37,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
002615,哈尔斯,7.68,0.79,53.41,55.56,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
600864,哈投股份,6.93,1.46,53.57,51.3,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
603858,步长制药,16.38,0.49,53.61,56.64,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
601658,邮储银行,5.41,-0.37,53.66,49.21,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
603058,永吉股份,9.63,-0.72,53.76,41.51,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
000911,广农糖业,7.45,0.81,53.85,43.75,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
603123,翠微股份,14.83,-1.85,53.85,58.17,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
002832,比音勒芬,15.15,0.4,53.85,45.05,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
600056,中国医药,10.54,0.38,53.85,43.54,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
002673,西部证券,8.03,-0.99,53.85,46.43,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
600388,龙净环保,16.33,-1.45,54.22,52.44,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
603826,坤彩科技,17.36,0.46,54.3,50.85,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
002332,仙琚制药,9.14,0.44,54.39,48.89,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
000913,钱江摩托,15.56,0.71,54.4,41.38,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
600109,国金证券,9.43,-1.98,54.46,47.6,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
603566,普莱柯,12.85,1.9,54.48,62.28,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
600841,动力新科,6.33,2.1,54.63,49.81,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
002040,南 京 港,10.0,0.4,54.7,53.8,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
002327,富安娜,6.7,0.15,54.76,54.29,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
600241,时代万恒,8.41,2.31,54.79,44.21,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
603717,天域生物,7.8,0.0,54.81,56.44,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
603779,威龙股份,6.53,2.35,54.9,41.61,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
002123,梦网科技,13.05,0.54,54.9,49.55,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
002053,云南能投,11.84,-0.17,54.93,49.65,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
600733,北汽蓝谷,8.35,0.24,55.06,42.31,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
600223,福瑞达,7.4,0.27,55.07,49.24,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
600874,创业环保,6.04,0.17,55.1,49.23,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
600203,福日电子,13.35,0.3,55.1,51.49,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
603585,苏利股份,19.45,0.46,55.11,55.96,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
600158,中体产业,8.76,0.11,55.17,51.47,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
603231,索宝蛋白,18.66,0.7,55.21,37.5,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
601918,新集能源,6.95,-1.0,55.24,44.39,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
002511,中顺洁柔,8.29,-0.24,55.26,40.38,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
601186,中国铁建,7.8,0.13,55.26,50.53,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
603638,艾迪精密,19.29,1.05,55.28,44.44,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
600975,新五丰,5.92,0.17,55.32,56.7,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
600650,锦江在线,15.99,-0.25,55.33,46.39,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
002221,东华能源,8.11,0.25,55.38,55.19,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
600258,首旅酒店,17.07,-0.35,55.45,54.79,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
600999,招商证券,17.14,-2.17,55.45,55.32,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
600078,澄星股份,10.46,-0.29,55.53,47.18,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
600073,光明肉业,6.53,0.77,55.56,50.39,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
603390,通达电气,13.37,-1.04,55.68,58.14,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
603959,百利科技,5.85,0.86,55.71,55.37,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
605368,蓝天燃气,7.79,0.13,55.74,56.0,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
002982,湘佳股份,13.78,0.73,55.8,53.85,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
002343,慈文传媒,7.27,0.97,55.81,53.42,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
002351,漫步者,12.36,0.98,55.86,46.83,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
600097,开创国际,11.7,-0.93,55.88,50.24,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
603679,华体科技,17.09,2.21,55.9,64.41,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
002728,特一药业,11.52,0.61,55.9,49.72,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
000635,英 力 特,9.83,-0.81,55.91,50.89,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
603213,镇洋发展,13.18,-0.6,55.93,58.97,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
605555,德昌股份,18.7,-2.04,55.94,38.46,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
002667,威领股份,14.24,0.85,55.97,50.58,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
002215,诺 普 信,10.89,0.65,56.0,51.52,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
000925,众合科技,9.02,1.23,56.02,57.07,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
600901,江苏金租,6.2,-1.9,56.06,43.1,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
002855,捷荣技术,16.73,0.6,56.1,44.09,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
000425,徐工机械,11.38,-2.98,56.12,52.85,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
000788,北大医药,6.55,2.18,56.15,50.97,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
603439,贵州三力,11.81,0.43,56.18,56.06,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
002244,滨江集团,10.25,1.08,56.21,45.74,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
601022,宁波远洋,9.3,0.32,56.25,50.0,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
600380,健康元,11.79,0.0,56.25,41.38,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
600186,莲花控股,6.12,0.0,56.25,45.39,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
002670,国盛证券,17.08,-1.9,56.25,48.06,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
000958,电投产融,6.57,0.15,56.25,55.08,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
000011,深物业A,9.06,1.34,56.3,43.84,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
001201,东瑞股份,14.72,0.34,56.3,60.27,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
002226,江南化工,5.97,1.36,56.34,60.0,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
601665,齐鲁银行,5.68,-0.7,56.36,50.0,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
002440,闰土股份,7.7,-0.9,56.38,57.58,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
600613,神奇制药,6.23,1.96,56.38,45.88,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
002797,第一创业,7.03,-0.57,56.41,50.89,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
600062,华润双鹤,18.55,0.0,56.57,53.28,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
600603,广汇物流,6.59,0.3,56.58,41.67,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
601098,中南传媒,11.2,-0.09,56.58,45.45,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
600621,华鑫股份,15.58,-2.63,56.58,44.25,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
603328,依顿电子,11.27,-0.09,56.63,52.87,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
001366,播恩集团,13.16,0.92,56.64,52.17,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
002923,润都股份,12.58,1.13,56.67,58.9,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
603399,永杉锂业,11.12,-1.51,56.71,44.44,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
002805,丰元股份,17.58,-0.68,56.85,52.21,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
603310,巍华新材,17.13,0.53,56.86,48.0,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
603018,华设集团,7.62,0.0,56.88,57.72,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
600543,莫高股份,5.56,2.96,56.9,57.87,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
603330,天洋新材,7.41,2.92,56.94,58.54,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
603958,哈森股份,13.29,0.83,57.14,39.84,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
000670,盈方微,7.73,4.74,57.14,42.8,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
601800,中国交建,8.42,0.6,57.14,48.81,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
002349,精华制药,7.41,0.68,57.14,55.31,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
603515,欧普照明,18.72,1.35,57.2,56.1,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
