代码,name,现价,涨跌幅%,RSI,历史胜率%,信号强度,操作建议
002629,仁智股份,6.78,-0.73,34.51,46.67,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
002928,华夏航空,10.93,-0.18,35.0,41.12,★★★★★ (核心狙击),极端超跌+缩量金叉，反转概率极高。3331法则建立底仓。
600373,中文传媒,9.36,0.75,35.71,53.09,★★★★★ (核心狙击),极端超跌+缩量金叉，反转概率极高。3331法则建立底仓。
600377,宁沪高速,11.7,-1.02,35.77,43.33,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
603567,珍宝岛,9.28,1.2,36.57,47.71,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
000525,红太阳,5.51,0.55,38.57,45.98,★★★★★ (核心狙击),极端超跌+缩量金叉，反转概率极高。3331法则建立底仓。
600199,金种子酒,9.75,-0.1,38.67,45.91,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
600886,国投电力,13.29,-0.08,39.42,48.03,★★★★★ (核心狙击),极端超跌+缩量金叉，反转概率极高。3331法则建立底仓。
000860,顺鑫农业,14.82,0.2,39.64,49.78,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
601838,成都银行,16.23,-0.18,40.0,53.73,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
600548,深高速,8.81,-0.23,40.0,48.5,★★★★★ (核心狙击),极端超跌+缩量金叉，反转概率极高。3331法则建立底仓。
000016,深康佳Ａ,5.07,0.2,40.0,46.25,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
600104,上汽集团,15.37,0.46,41.36,49.1,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
000537,中绿电,8.3,-0.24,41.54,43.05,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
600398,海澜之家,6.13,0.49,42.03,42.91,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
000558,天府文旅,5.19,-0.19,42.42,44.6,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
000550,江铃汽车,18.21,-0.27,42.55,41.52,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
001356,富岭股份,13.24,1.38,42.65,46.15,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
600977,中国电影,15.96,1.01,42.86,59.0,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
600197,伊力特,13.9,0.0,42.86,46.49,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
000951,中国重汽,16.8,-1.18,43.23,46.09,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
002926,华西证券,9.34,-1.37,43.7,42.62,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
002275,桂林三金,14.33,0.07,45.04,68.46,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
002088,鲁阳节能,10.63,0.47,45.05,47.78,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
600918,中泰证券,6.65,-1.19,45.07,56.9,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
603167,渤海轮渡,9.31,-0.53,45.12,45.11,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
002120,韵达股份,6.87,0.15,45.33,52.38,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
603101,汇嘉时代,10.15,0.0,45.88,46.77,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
605303,园林股份,18.7,-4.0,45.98,53.57,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
603836,海程邦达,13.7,0.37,46.36,37.5,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
002646,天佑德酒,8.81,0.57,46.39,47.93,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
003012,东鹏控股,6.72,0.9,46.43,34.74,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
002840,华统股份,9.66,0.21,46.67,39.87,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
603056,德邦股份,13.9,0.43,46.75,44.63,★★★★☆ (优选试错),已止跌并金叉，缩量稍显不足。可轻仓试错。
600597,光明乳业,8.15,0.0,46.94,41.91,★★★☆☆ (观察待定),仅满足金叉底线，RSI尚未杀透，建议先放入自选股观察。
