代码,名称,现价,涨跌幅%,RSI,历史信号胜率%,信号强度,操作建议
601136,首创证券,17.98,-0.28,30.77,100.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
002900,哈三联,12.3,-1.05,34.24,66.67,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
603815,交建股份,7.04,-0.42,23.62,42.86,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
600000,浦发银行,10.17,-0.1,27.56,42.42,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
601766,中国中车,6.4,-0.16,28.71,40.0,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
600721,百花医药,9.27,-0.64,33.82,36.96,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
002020,京新药业,17.1,0.59,28.67,33.33,★★★★★ (核心狙击),符合极端缩量+金叉共振。建议3成仓位狙击，止损今日最低价或10日线。
